soc_code,title,COMM,RESP,PROB,GROW,STRE,ADAP
39-2011.00,Animal Trainers,2.99,4.25,2.83,2.94,4.09,2.74
39-2021.00,Animal Caretakers,2.8,4.35,2.47,1.83,4.42,2.4
39-3011.00,Gambling Dealers,3.04,4.17,2.42,1.84,4.38,2.65
39-3012.00,Gambling and Sports Book Writers and Runners,2.97,3.91,2.48,2.04,4.17,2.54
39-3021.00,Motion Picture Projectionists,2.66,4.02,2.4,1.77,3.71,2.29
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2.91,3.69,2.26,1.66,3.97,2.78
39-3091.00,Amusement and Recreation Attendants,2.82,3.45,2.28,1.84,3.68,2.54
39-3092.00,Costume Attendants,2.96,3.9,2.44,1.79,3.97,2.62
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2.97,3.95,2.18,1.3,4.12,2.56
39-4011.00,Embalmers,3.32,4.55,2.71,2.31,4.52,2.7
39-4021.00,Funeral Attendants,2.97,4.24,2.25,1.6,4.08,2.62
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3.5,4.33,2.78,2.49,4.12,3.31
39-5011.00,Barbers,2.91,4.07,2.34,1.83,4.11,2.55
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3.11,4.17,2.67,2.6,4.12,2.91
39-5092.00,Manicurists and Pedicurists,2.57,3.39,2.09,1.96,3.67,2.53
39-5093.00,Shampooers,2.81,3.98,2.06,1.73,4.12,2.46
39-5094.00,Skincare Specialists,3.14,4.24,2.63,2.51,4.37,2.91
39-6011.00,Baggage Porters and Bellhops,2.93,4.05,2.32,1.86,3.86,2.57
39-7011.00,Tour Guides and Escorts,3.14,4.05,2.38,2.02,4.06,2.72
39-7012.00,Travel Guides,3.5,4.07,2.78,2.54,4.27,3.35
39-9011.00,Childcare Workers,3.05,4.18,2.68,2.59,4.54,2.91
39-9032.00,Recreation Workers,3.68,4.46,2.77,2.67,4.55,3.32
39-9041.00,Residential Advisors,3.51,4.31,2.93,2.49,4.47,3.21
41-1011.00,First-Line Supervisors of Retail Sales Workers,3.51,4.52,2.85,2.73,4.76,3.3
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,3.46,4.3,3.14,2.98,3.92,3.17
41-2011.00,Cashiers,2.81,3.84,2.21,1.69,3.94,2.49
41-2012.00,Gambling Change Persons and Booth Cashiers,2.9,4.45,2.47,1.76,4.53,2.6
41-2021.00,Counter and Rental Clerks,3.04,4.2,2.45,1.98,4.33,2.75
41-2022.00,Parts Salespersons,3.27,4.31,2.64,2.25,4.1,3.05
41-2031.00,Retail Salespersons,3.2,4.04,2.53,2.32,3.94,3.28
41-3011.00,Advertising Sales Agents,3.35,4.45,2.77,2.49,4.08,3.42
41-3021.00,Insurance Sales Agents,3.27,4.45,2.87,2.53,4.21,3.1
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",3.1,4.41,3.12,2.71,4.19,3.1
41-3041.00,Travel Agents,3.05,3.92,2.74,2.36,3.44,3.19
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.46,4.28,2.9,2.77,4.16,3.4
41-4011.07,Solar Sales Representatives and Assessors,3.18,4.33,2.84,2.49,3.46,3.19
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3.38,4.19,2.76,2.3,4.21,3.21
41-9011.00,Demonstrators and Product Promoters,3.39,4.2,2.54,2.43,3.76,3.02
41-9012.00,Models,2.55,3.73,1.79,1.06,3.49,2.12
41-9021.00,Real Estate Brokers,3.34,4.53,2.95,2.56,4.49,3.07
41-9031.00,Sales Engineers,3.58,4.71,3.39,3.03,4.27,3.52
41-9041.00,Telemarketers,3.12,4.0,2.29,1.3,3.96,3.12
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,3.57,4.29,3.07,3.18,4.35,3.31
43-2011.00,"Switchboard Operators, Including Answering Service",3.13,4.19,2.32,1.86,4.37,2.62
43-2021.00,Telephone Operators,3.2,4.41,2.41,1.78,4.47,2.63
43-3011.00,Bill and Account Collectors,3.08,4.31,2.57,2.12,4.12,2.82
43-3021.00,Billing and Posting Clerks,2.93,4.55,2.64,2.22,4.15,2.4
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",2.99,4.33,2.68,2.08,3.84,2.5
43-3041.00,Gambling Cage Workers,3.03,4.39,2.56,1.97,4.66,2.7
43-3051.00,Payroll and Timekeeping Clerks,2.99,4.61,2.66,2.23,4.39,2.53
43-3061.00,Procurement Clerks,3.35,4.45,2.93,2.48,4.14,2.85
43-3071.00,Tellers,3.05,4.41,2.7,2.26,4.39,2.71
43-4011.00,Brokerage Clerks,3.05,4.53,2.78,2.43,4.28,2.62
43-4021.00,Correspondence Clerks,3.04,4.43,2.71,2.26,3.71,2.74
43-4031.00,"Court, Municipal, and License Clerks",3.3,4.55,2.69,2.22,4.5,2.65
43-4051.00,Customer Service Representatives,3.36,4.55,2.8,2.4,4.62,3.04
43-4061.00,"Eligibility Interviewers, Government Programs",3.44,4.37,2.96,2.39,4.39,3.14
43-4071.00,File Clerks,2.95,4.2,2.52,2.13,4.09,2.51
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",3.15,4.43,2.59,2.21,4.5,3.05
43-4111.00,"Interviewers, Except Eligibility and Loan",3.46,4.49,2.74,2.49,4.62,3.02
43-4121.00,"Library Assistants, Clerical",2.94,3.94,2.42,1.94,3.83,2.57
43-4131.00,Loan Interviewers and Clerks,3.28,4.41,3.08,2.62,4.08,2.87
43-4141.00,New Accounts Clerks,3.37,4.36,2.62,2.16,4.21,2.93
43-4151.00,Order Clerks,3.44,4.47,2.66,2.26,4.72,2.89
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",3.29,4.09,2.73,2.45,3.75,2.82
43-4171.00,Receptionists and Information Clerks,3.16,4.23,2.41,1.93,4.36,2.79
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,3.45,4.42,2.69,2.41,4.7,3.17
43-5011.00,Cargo and Freight Agents,2.84,4.25,2.64,2.01,3.99,2.79
43-5011.01,Freight Forwarders,3.21,4.54,2.83,2.54,4.57,2.99
43-5021.00,Couriers and Messengers,2.58,4.19,2.38,1.92,3.12,2.34
43-5031.00,Public Safety Telecommunicators,3.6,4.45,3.1,2.52,4.86,3.2
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",3.51,4.35,2.86,2.44,4.4,2.79
43-5041.00,"Meter Readers, Utilities",2.71,4.08,2.43,2.11,3.97,2.38
43-5051.00,Postal Service Clerks,2.88,4.42,2.53,1.9,4.14,2.62
43-5052.00,Postal Service Mail Carriers,2.67,4.27,2.31,1.49,4.01,2.33
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2.74,3.83,2.31,1.8,3.8,2.14
43-5061.00,"Production, Planning, and Expediting Clerks",3.15,4.52,2.88,2.15,4.4,2.61
43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.86,3.96,2.51,1.91,3.56,2.38
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2.88,4.24,2.63,2.31,3.7,2.62
43-6011.00,Executive Secretaries and Executive Administrative Assistants,3.42,4.39,2.69,2.59,3.97,3.0
43-6012.00,Legal Secretaries and Administrative Assistants,3.27,4.37,2.53,2.14,4.27,2.62
43-6013.00,Medical Secretaries and Administrative Assistants,3.27,4.41,2.59,1.87,4.3,2.66
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3.33,4.29,2.57,2.12,4.05,2.67
43-9021.00,Data Entry Keyers,2.99,4.78,2.44,1.97,4.6,2.43
43-9022.00,Word Processors and Typists,2.81,4.3,2.24,1.66,3.99,2.33
43-9031.00,Desktop Publishers,3.16,4.56,2.94,2.54,4.12,2.75
43-9041.00,Insurance Claims and Policy Processing Clerks,3.02,4.37,2.61,2.23,4.03,2.74
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",2.78,4.23,2.36,1.83,4.28,2.17
43-9061.00,"Office Clerks, General",3.11,4.28,2.46,2.11,4.15,2.64
43-9071.00,"Office Machine Operators, Except Computer",2.7,3.81,2.37,2.01,3.46,2.39
43-9081.00,Proofreaders and Copy Markers,2.65,4.45,2.45,1.8,3.4,1.78
43-9111.00,Statistical Assistants,3.02,4.31,3.06,2.83,3.66,2.6
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3.23,4.17,3.0,2.77,3.94,2.82
45-2011.00,Agricultural Inspectors,3.15,4.26,3.21,2.67,4.04,2.63
45-2021.00,Animal Breeders,2.63,3.98,2.64,2.13,3.51,2.24
45-2041.00,"Graders and Sorters, Agricultural Products",2.42,3.4,1.93,1.36,3.08,1.68
45-2091.00,Agricultural Equipment Operators,2.64,3.73,2.45,1.51,3.36,2.05
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2.6,3.85,2.42,2.1,3.28,2.31
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.65,3.89,2.7,2.05,3.26,2.27
45-4011.00,Forest and Conservation Workers,2.95,4.12,2.62,2.34,4.05,2.44
45-4021.00,Fallers,2.5,3.82,2.49,1.43,3.65,2.04
45-4022.00,Logging Equipment Operators,2.55,3.86,2.42,1.86,3.88,2.27
45-4023.00,Log Graders and Scalers,2.84,4.24,2.68,2.21,3.79,2.51
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,3.44,4.58,2.91,2.62,4.44,2.86
47-1011.03,Solar Energy Installation Managers,3.35,4.2,2.99,2.62,3.99,3.0
47-2011.00,Boilermakers,2.82,4.41,2.88,2.46,4.18,2.3
47-2021.00,Brickmasons and Blockmasons,2.76,4.28,2.49,2.01,3.57,2.26
47-2022.00,Stonemasons,2.83,3.85,2.71,2.3,3.1,2.29
47-2031.00,Carpenters,3.08,4.29,2.91,2.38,4.01,2.5
47-2041.00,Carpet Installers,2.75,4.25,2.53,2.1,3.82,2.36
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2.69,4.0,2.46,2.0,3.33,2.33
47-2043.00,Floor Sanders and Finishers,2.58,4.19,2.24,1.92,3.72,2.16
47-2044.00,Tile and Stone Setters,2.74,4.11,2.59,1.93,3.91,2.29
47-2051.00,Cement Masons and Concrete Finishers,2.69,3.97,2.46,1.79,3.8,2.0
47-2053.00,Terrazzo Workers and Finishers,2.59,3.94,2.24,1.88,3.75,2.08
47-2061.00,Construction Laborers,2.91,3.77,2.43,1.8,3.29,2.06
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2.69,3.83,2.46,1.97,3.71,1.96
47-2072.00,Pile Driver Operators,2.72,3.96,2.52,1.62,3.94,1.99
47-2073.00,Operating Engineers and Other Construction Equipment Operators,2.79,4.37,2.55,2.1,4.06,2.34
47-2081.00,Drywall and Ceiling Tile Installers,2.65,3.86,2.42,1.72,3.67,1.99
47-2082.00,Tapers,2.46,3.52,2.18,1.81,2.97,2.01
47-2111.00,Electricians,2.98,4.14,3.15,2.72,3.9,2.81
47-2121.00,Glaziers,2.68,3.96,2.54,1.85,3.68,2.3
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",2.66,3.87,2.26,1.92,3.56,2.27
47-2132.00,"Insulation Workers, Mechanical",2.84,4.24,2.46,2.06,4.17,2.17
47-2141.00,"Painters, Construction and Maintenance",2.7,4.31,2.26,1.6,4.08,2.26
47-2142.00,Paperhangers,2.71,4.39,2.33,1.62,4.15,2.19
47-2151.00,Pipelayers,2.8,4.08,2.36,1.77,3.75,2.1
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",2.77,4.21,2.9,2.14,3.93,2.34
47-2152.04,Solar Thermal Installers and Technicians,3.08,4.54,2.71,2.45,4.19,2.76
47-2161.00,Plasterers and Stucco Masons,2.6,3.8,2.36,2.08,3.58,2.27
47-2171.00,Reinforcing Iron and Rebar Workers,2.64,4.3,2.41,1.85,4.0,1.99
47-2181.00,Roofers,2.93,4.31,2.61,1.97,3.85,2.28
47-2211.00,Sheet Metal Workers,2.85,4.16,2.57,2.19,3.55,2.11
47-2221.00,Structural Iron and Steel Workers,2.98,4.05,2.66,2.54,3.94,2.42
47-2231.00,Solar Photovoltaic Installers,2.96,4.35,2.75,2.3,4.28,2.39
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2.64,3.78,2.23,1.91,3.55,2.01
47-3012.00,Helpers--Carpenters,2.79,3.99,2.44,1.99,3.67,2.24
47-3013.00,Helpers--Electricians,2.78,4.13,2.53,2.06,3.8,2.11
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2.61,3.71,2.13,1.89,3.56,2.19
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2.51,3.84,2.31,1.83,3.8,2.09
47-3016.00,Helpers--Roofers,2.78,4.12,2.34,2.0,3.87,2.2
47-4021.00,Elevator and Escalator Installers and Repairers,2.8,4.31,2.94,2.31,4.01,2.38
47-4031.00,Fence Erectors,2.68,3.97,2.41,1.82,3.86,2.15
47-4041.00,Hazardous Materials Removal Workers,3.0,4.2,2.99,2.31,4.22,2.69
47-4051.00,Highway Maintenance Workers,2.81,3.67,2.54,1.79,3.39,2.32
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,2.73,3.8,2.59,2.11,3.5,2.12
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,2.66,3.75,2.63,2.24,3.54,2.36
47-4091.00,Segmental Pavers,3.01,4.0,2.61,2.12,3.93,2.66
47-5011.00,"Derrick Operators, Oil and Gas",2.99,3.88,2.78,2.36,3.88,2.32
47-5012.00,"Rotary Drill Operators, Oil and Gas",2.97,4.18,2.93,2.56,4.03,2.53
47-5013.00,"Service Unit Operators, Oil and Gas",2.89,3.96,2.88,2.43,3.96,2.58
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",2.76,3.82,2.57,2.26,3.58,2.51
47-5023.00,"Earth Drillers, Except Oil and Gas",2.74,3.98,2.7,2.01,3.8,2.29
47-5041.00,Continuous Mining Machine Operators,2.7,3.92,2.76,2.18,3.83,2.26
47-5043.00,"Roof Bolters, Mining",2.81,3.97,2.65,2.24,3.7,2.27
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",2.72,3.71,2.45,1.69,3.65,2.24
47-5051.00,"Rock Splitters, Quarry",2.65,3.69,2.37,1.77,3.25,2.04
47-5071.00,"Roustabouts, Oil and Gas",2.51,3.53,2.38,1.92,3.46,1.97
47-5081.00,Helpers--Extraction Workers,2.71,3.77,2.59,2.24,3.43,2.21
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",3.34,4.11,3.2,2.93,4.14,2.91
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",2.68,4.1,2.78,2.41,3.64,2.61
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",2.94,4.31,2.8,2.37,4.02,2.48
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3.03,4.18,2.98,2.55,3.94,2.66
49-2091.00,Avionics Technicians,2.96,4.39,3.16,2.43,3.96,2.63
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",2.83,4.28,2.92,2.46,4.04,2.52
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3.01,4.5,2.76,1.92,4.22,2.54
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",2.89,4.16,3.14,2.54,3.81,2.73
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2.96,4.42,2.8,2.22,4.14,2.53
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",2.83,4.35,2.84,2.14,3.84,2.6
49-2097.00,Audiovisual Equipment Installers and Repairers,2.81,4.11,2.75,2.4,3.44,2.48
49-2098.00,Security and Fire Alarm Systems Installers,2.98,4.51,2.83,2.28,4.23,2.5
49-3011.00,Aircraft Mechanics and Service Technicians,2.94,4.47,3.45,2.54,4.1,2.66
49-3021.00,Automotive Body and Related Repairers,2.74,4.39,2.57,2.06,3.63,2.53
49-3022.00,Automotive Glass Installers and Repairers,2.68,4.14,2.42,2.05,3.87,2.45
49-3023.00,Automotive Service Technicians and Mechanics,2.65,4.0,3.04,2.28,3.55,2.53
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,2.78,4.05,2.83,2.36,3.77,2.24
49-3041.00,Farm Equipment Mechanics and Service Technicians,2.73,4.45,3.0,2.49,4.27,2.38
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",2.74,4.18,2.92,2.43,3.7,2.47
49-3043.00,Rail Car Repairers,2.61,3.61,2.65,2.24,3.42,2.26
49-3051.00,Motorboat Mechanics and Service Technicians,2.63,4.27,2.94,1.85,3.55,2.22
49-3052.00,Motorcycle Mechanics,2.84,4.67,2.87,2.39,4.13,2.54
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,2.63,3.96,2.65,2.18,3.55,2.27
49-3091.00,Bicycle Repairers,3.08,4.24,2.69,2.28,4.36,2.88
49-3092.00,Recreational Vehicle Service Technicians,2.74,4.32,2.75,2.14,3.65,2.58
49-3093.00,Tire Repairers and Changers,2.53,4.15,2.38,1.85,3.97,2.4
49-9011.00,Mechanical Door Repairers,2.88,4.03,2.67,2.19,3.56,2.65
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",2.81,3.91,2.76,2.31,3.48,2.27
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2.89,4.46,3.08,2.52,4.0,2.56
49-9031.00,Home Appliance Repairers,2.85,4.34,2.77,2.03,3.9,2.53
49-9041.00,Industrial Machinery Mechanics,2.82,4.22,2.81,2.51,3.72,2.23
49-9043.00,"Maintenance Workers, Machinery",2.77,4.22,2.61,1.93,3.91,2.18
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",2.64,3.91,2.45,1.91,3.76,2.11
49-9051.00,Electrical Power-Line Installers and Repairers,2.96,4.28,2.9,2.46,4.16,2.51
49-9052.00,Telecommunications Line Installers and Repairers,2.9,4.32,2.65,2.08,4.31,2.51
49-9061.00,Camera and Photographic Equipment Repairers,2.52,3.98,2.79,2.36,3.7,2.21
49-9062.00,Medical Equipment Repairers,2.69,4.35,2.85,2.43,3.84,2.61
49-9064.00,Watch and Clock Repairers,2.56,4.25,2.57,1.75,3.8,2.32
49-9071.00,"Maintenance and Repair Workers, General",2.82,4.01,2.78,2.32,3.91,2.34
49-9081.00,Wind Turbine Service Technicians,2.93,4.07,2.96,2.62,4.01,2.26
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",2.63,3.98,2.55,1.82,4.38,2.33
49-9092.00,Commercial Divers,3.2,4.48,3.08,2.56,4.35,2.66
49-9095.00,Manufactured Building and Mobile Home Installers,3.09,4.19,2.94,2.78,4.1,2.76
49-9096.00,Riggers,2.89,4.23,2.68,1.66,3.84,2.32
49-9097.00,Signal and Track Switch Repairers,2.6,3.82,2.94,2.4,3.88,2.17
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",2.75,3.94,2.37,2.1,3.58,2.13
49-9099.01,Geothermal Technicians,2.85,4.37,2.86,2.25,3.92,2.45
51-1011.00,First-Line Supervisors of Production and Operating Workers,3.48,4.32,3.15,2.67,4.24,3.0
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2.89,4.51,2.72,2.42,3.77,2.34
51-2021.00,"Coil Winders, Tapers, and Finishers",2.78,4.14,2.35,1.73,3.93,1.97
51-2022.00,Electrical and Electronic Equipment Assemblers,2.72,3.82,2.52,2.03,3.25,2.18
51-2023.00,Electromechanical Equipment Assemblers,2.54,4.03,2.5,1.73,3.27,1.96
51-2031.00,Engine and Other Machine Assemblers,2.78,4.12,2.52,1.85,3.66,2.2
51-2041.00,Structural Metal Fabricators and Fitters,2.69,3.94,2.36,1.47,3.72,2.13
51-2051.00,Fiberglass Laminators and Fabricators,2.73,4.15,2.58,2.36,3.95,2.31
51-2061.00,Timing Device Assemblers and Adjusters,2.42,4.12,2.52,1.82,3.28,2.29
51-2092.00,Team Assemblers,2.9,3.98,2.52,1.91,4.03,2.41
51-3011.00,Bakers,2.83,4.08,2.38,2.21,3.81,2.22
51-3021.00,Butchers and Meat Cutters,2.89,4.06,2.46,1.92,3.91,2.66
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",2.67,4.12,2.3,1.96,3.62,2.31
51-3023.00,Slaughterers and Meat Packers,2.31,4.21,1.95,1.49,4.04,1.93
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2.79,3.8,2.54,2.16,3.67,2.32
51-3092.00,Food Batchmakers,2.86,4.11,2.51,1.95,4.08,2.24
51-3093.00,Food Cooking Machine Operators and Tenders,2.62,3.91,2.48,1.97,3.86,2.08
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2.71,3.91,2.53,2.0,3.79,2.21
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2.76,4.04,2.52,1.97,3.83,2.27
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2.81,4.18,2.7,2.5,3.91,2.2
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2.51,3.75,2.51,1.92,3.34,1.99
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.63,4.46,2.58,1.97,3.96,2.19
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.58,3.77,2.6,1.98,3.45,2.04
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.63,3.91,2.45,1.69,3.78,1.96
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2.63,4.13,2.55,1.99,3.96,2.01
51-4041.00,Machinists,2.75,4.07,2.67,2.16,3.69,2.29
51-4051.00,Metal-Refining Furnace Operators and Tenders,2.69,3.88,2.63,2.02,3.71,2.25
51-4052.00,"Pourers and Casters, Metal",2.66,3.91,2.4,1.84,3.66,2.04
51-4061.00,"Model Makers, Metal and Plastic",2.39,4.02,2.64,1.95,3.21,1.75
51-4062.00,"Patternmakers, Metal and Plastic",2.68,4.08,2.59,1.94,3.88,2.06
51-4071.00,Foundry Mold and Coremakers,2.45,4.12,2.24,1.74,4.0,1.96
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2.58,3.96,2.47,2.09,3.66,2.09
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.8,4.42,2.65,2.32,4.15,2.43
51-4111.00,Tool and Die Makers,2.76,4.29,2.67,2.22,4.05,1.91
51-4121.00,"Welders, Cutters, Solderers, and Brazers",2.4,3.93,2.44,1.73,3.58,1.92
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2.61,3.87,2.57,1.85,3.6,2.01
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",2.74,3.94,2.57,2.3,3.63,2.11
51-4192.00,"Layout Workers, Metal and Plastic",2.68,4.2,2.67,2.04,3.6,2.14
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",2.85,4.09,2.49,1.85,3.8,2.23
51-4194.00,"Tool Grinders, Filers, and Sharpeners",2.42,4.09,2.56,2.21,3.46,2.17
51-5111.00,Prepress Technicians and Workers,2.82,4.14,2.63,2.25,3.95,2.56
51-5112.00,Printing Press Operators,2.74,4.02,2.65,2.14,3.51,2.33
51-5113.00,Print Binding and Finishing Workers,2.69,4.12,2.66,2.19,3.87,2.33
51-6011.00,Laundry and Dry-Cleaning Workers,2.58,3.7,2.25,1.97,3.59,2.28
51-6021.00,"Pressers, Textile, Garment, and Related Materials",2.27,4.37,1.97,1.41,4.02,1.81
51-6031.00,Sewing Machine Operators,2.27,3.91,2.29,1.75,3.67,1.83
51-6041.00,Shoe and Leather Workers and Repairers,2.57,3.44,2.38,1.56,3.2,2.27
51-6042.00,Shoe Machine Operators and Tenders,2.65,4.36,2.37,1.64,4.39,2.09
51-6051.00,"Sewers, Hand",2.2,3.94,2.12,1.81,3.17,1.84
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",2.8,3.83,2.38,1.94,3.87,2.38
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,2.47,3.77,2.42,1.77,3.14,1.97
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",2.68,4.05,2.46,1.84,3.76,1.95
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2.5,4.25,2.3,1.61,4.09,1.93
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2.56,3.79,2.35,1.93,3.91,1.99
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2.78,3.92,2.66,2.1,3.88,2.2
51-6092.00,Fabric and Apparel Patternmakers,2.89,4.54,2.87,2.6,4.14,2.66
51-6093.00,Upholsterers,2.78,3.87,2.63,2.44,3.35,2.48
51-7011.00,Cabinetmakers and Bench Carpenters,2.56,4.1,2.55,2.14,3.79,2.25
51-7021.00,Furniture Finishers,2.77,4.06,2.58,2.21,3.29,2.39
51-7031.00,"Model Makers, Wood",2.66,4.47,2.58,2.05,3.75,2.28
51-7032.00,"Patternmakers, Wood",2.63,4.18,2.6,2.02,3.7,2.16
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",2.52,4.17,2.45,1.72,4.17,1.97
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2.4,3.94,2.48,1.94,3.42,1.91
51-8011.00,Nuclear Power Reactor Operators,3.1,4.5,3.32,2.62,4.19,2.72
51-8012.00,Power Distributors and Dispatchers,3.13,4.46,3.19,2.46,4.67,2.6
51-8013.00,Power Plant Operators,2.97,4.34,3.06,2.21,4.06,2.43
51-8013.03,Biomass Plant Technicians,2.78,3.79,2.74,2.57,3.73,2.52
51-8013.04,Hydroelectric Plant Technicians,2.89,4.36,3.03,2.39,3.99,2.52
51-8021.00,Stationary Engineers and Boiler Operators,2.89,4.06,2.79,2.25,3.8,2.25
51-8091.00,Chemical Plant and System Operators,2.9,4.16,3.01,2.58,3.82,2.19
51-8092.00,Gas Plant Operators,2.88,4.21,2.83,2.41,3.87,2.46
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2.84,4.06,2.85,2.52,3.88,2.35
51-8099.01,Biofuels Processing Technicians,2.93,4.01,2.74,2.33,3.49,2.66
51-9011.00,Chemical Equipment Operators and Tenders,2.98,4.21,2.81,2.4,3.83,2.31
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2.74,3.63,2.63,2.44,3.75,2.31
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2.72,3.39,2.55,2.23,3.48,2.33
51-9022.00,"Grinding and Polishing Workers, Hand",2.48,4.09,2.37,1.88,3.7,2.23
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",2.63,3.86,2.53,2.21,3.23,2.08
51-9031.00,"Cutters and Trimmers, Hand",2.43,3.82,2.19,1.68,2.92,2.16
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",2.61,3.79,2.59,1.88,3.48,2.09
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2.74,4.06,2.55,1.92,3.87,2.11
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2.68,3.66,2.55,1.82,3.75,1.97
